ISO_Stdised_Key (PK),Crypto_Key (FK),Month_Date,Open_Price,High_Price,Low_Price,Close_Price,Volume_Traded,Change_pct
ADA,192046,"Mar, 2025",0.633,1.1639,0.6254,0.7114,9.27B,0.1242
ADA,192046,"Feb, 2025",0.9425,0.9572,0.5416,0.6328,6.15B,-0.3283
ADA,192046,"Jan, 2025",0.8443,1.1662,0.8383,0.9421,7.19B,0.1144
ADA,192046,"Dec, 2024",1.0781,1.3252,0.7626,0.8454,9.68B,-0.2157
ADA,192046,"Nov, 2024",0.3418,1.1486,0.3207,1.0779,14.32B,2.1536
ADA,192046,"Oct, 2024",0.3734,0.3859,0.3147,0.3418,2.43B,-0.0849
ADA,192046,"Sep, 2024",0.345,0.4154,0.3036,0.3735,2.20B,0.0826
ADA,192046,"Aug, 2024",0.3881,0.4013,0.2772,0.345,3.02B,-0.1113
ADA,192046,"Jul, 2024",0.3926,0.4562,0.3191,0.3882,3.12B,-0.0105
ADA,192046,"Jun, 2024",0.4473,0.4899,0.3626,0.3923,2.68B,-0.1224
ADA,192046,"May, 2024",0.4414,0.51,0.4189,0.447,2.84B,0.0129
ADA,192046,"Apr, 2024",0.6498,0.6513,0.4007,0.4413,4.72B,-0.3212
ADA,192046,"Mar, 2024",0.6565,0.8097,0.5698,0.6501,6.71B,-0.0058
BNB,192043,"Mar, 2025",588.01,643.1,508.02,624.1,282.37M,0.0615
BNB,192043,"Feb, 2025",677.48,730.87,512.62,587.97,14.54M,-0.1321
BNB,192043,"Jan, 2025",702.39,745.1,640.08,677.48,9.18M,-0.0355
BNB,192043,"Dec, 2024",653.72,793.2,619.23,702.39,20.45M,0.0745
BNB,192043,"Nov, 2024",576.5,687.26,543.87,653.72,18.97M,0.1337
BNB,192043,"Oct, 2024",567.5,612.09,534.7,576.6,6.76M,0.016
BNB,192043,"Sep, 2024",532.9,617.86,472.09,567.51,7.66M,0.0649
BNB,192043,"Aug, 2024",576.4,597.22,404.53,532.9,10.93M,-0.0755
BNB,192043,"Jul, 2024",582.4,605.48,456.33,576.4,8.29M,-0.0101
BNB,192043,"Jun, 2024",593.8,720.75,552.21,582.3,10.02M,-0.0194
BNB,192043,"May, 2024",578.41,629.98,537.5,593.8,10.58M,0.0266
BNB,192043,"Apr, 2024",606.69,627.68,510.84,578.41,19.61M,-0.0469
BNB,192043,"Mar, 2024",399.1,641.8,362.15,606.89,42.88M,0.5206
BTC,192039,"Mar, 2025",84353.4,94986.5,76677.1,84826.5,1.85M,0.01
BTC,192039,"Feb, 2025",102421.3,102770.8,78329.8,84381.2,2.40M,-0.18
BTC,192039,"Jan, 2025",93557.3,109228.6,89664.8,102424.2,2.72M,0.09
BTC,192039,"Dec, 2024",96404.7,108244.9,91522.3,93557.2,4.41M,-0.03
BTC,192039,"Nov, 2024",70278.7,99617.4,66834,96405.7,4.16M,0.37
BTC,192039,"Oct, 2024",63329.9,73569.4,59075.7,70281.8,2.56M,0.11
BTC,192039,"Sep, 2024",58975.7,66440.7,52644.6,63339.2,2.34M,0.07
BTC,192039,"Aug, 2024",64625.7,65587.9,49486.9,58978.6,2.56M,-0.09
BTC,192039,"Jul, 2024",62768.8,70000.2,53883.4,64626,2.06M,0.03
